[2025-09-14 19:34:36 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:34:36 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:34:36 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:34:37 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:34:37 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:38:59 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:38:59 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:38:59 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:38:59 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:39:00 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:39:00 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:39:24 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:39:24 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:39:24 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:39:24 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-14 19:39:25 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-14 19:39:25 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 08:34:37 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 08:34:37 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 08:34:37 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 08:34:37 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 08:34:38 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 08:34:38 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 08:37:18 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 08:37:18 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 08:37:18 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 08:37:18 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 08:37:19 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 08:37:19 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 08:42:11 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 08:42:11 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 08:42:11 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 08:42:11 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 08:42:12 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 08:42:12 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:06:11 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:06:11 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:06:12 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:06:12 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:06:13 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:06:13 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:06:42 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:06:42 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:06:43 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:06:43 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:06:44 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:06:44 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:07:18 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:07:18 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:07:18 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:07:18 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:07:19 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:07:19 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:07:53 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
